Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7,btc_market_price_lag1,btc_market_price_lag7,btc_market_price_lag14,btc_market_price_lag30,btc_market_price_ma7,btc_market_price_ma14,btc_market_price_ma30,btc_market_price_std7,btc_market_price_std14,btc_market_price_std30,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,btc_trade_volume_log,btc_transaction_fees_log,btc_output_volume_log,btc_estimated_transaction_volume_log
2016-05-23,442.17,15578675.0,16267423.8436,0.644258265193,7.55,1747819.16826,54.73645083,9.09105178676,414216.0,222755.0,2136337.68815,287554.261461,525.15,438.0,454.88,461.63,451.29,444.71,449.61500000000007,452.2843333333333,5.861936540106508,6.6838102330304885,7.266482184214074,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.604675190306793,4.020634346363111,14.574604028360596,12.569170334526232
2016-05-24,445.34,15582350.0,15674746.7744,0.849967387755,8.18333333333,1456454.92276,59.53134626,6.7465375197,406728.0,246517.0,2514701.15829,331470.157565,531.15,442.17,452.89,450.0,459.4,443.63142857142856,449.2821428571429,451.81566666666663,4.681792493545432,6.778526250761373,7.2450999771106375,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.567561553406428,4.103161350858973,14.737664928375812,12.711296078985722
2016-05-25,447.94,15585800.0,17482963.7888,0.871456863309,9.9,1377192.06982,59.87623565,6.38972863585,397464.0,247844.0,3341064.53142,383550.083319,539.47,445.34,452.9,452.51,463.86,442.92285714285714,448.9557142857143,451.28499999999997,3.179568703943291,6.720919939677663,6.9076652825206075,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.676737524152706,4.1088428793487,15.021800335459615,12.85722809383659
2016-05-26,452.49,15589175.0,16430495.235,0.823084058394,9.85,1357376.35658,55.65651605,7.1575319512,364137.0,220093.0,3584296.38193,368474.57302,539.99,447.94,441.87,454.7,467.98,444.44,448.79785714285714,450.76866666666666,4.742847246141955,6.600497858375041,6.154589951526655,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.6146496925397,4.037007003807309,15.092073024503597,12.817129700816036
2016-05-27,470.29,15592650.0,62133880.5648,0.948130618705,11.0166666667,1377192.06982,70.89209327,7.74560415681,407566.0,215296.0,4124114.20189,715367.346334,568.0,452.49,441.25,456.82,447.31,448.5885714285714,449.75999999999993,451.5346666666667,10.587252442723036,8.552834887671986,7.071086700543607,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,17.94480199497654,4.275166290251657,15.232362058231736,13.480552858719696
2016-05-28,522.43,15595975.0,68432471.5568,0.86336475188,9.11666666667,1317744.93011,52.34180926,9.13953961799,377266.0,193054.0,3665525.35247,497557.649106,573.74,470.29,443.89,455.65,450.0,459.8085714285714,454.53000000000003,453.949,29.500849382448777,21.265101421388678,14.73785960925923,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,18.04135801491949,3.9767204375636958,15.11448249894472,13.117468716282833
2016-05-29,512.16,15599650.0,72487384.5528,0.68007829932,7.76666666667,1456454.92276,47.98546674,10.6676899478,354651.0,178742.0,2740859.08647,404554.641059,574.02,522.43,438.0,457.08,456.16,470.40285714285716,458.4642857142857,455.8156666666667,33.41952209626967,26.277619817957696,18.173521223976515,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,18.0989231123113,3.8915236569741376,14.823782329279435,12.91054456117288
2016-05-30,525.15,15603250.0,41187985.5816,0.892476613793,9.46666666667,1436639.20952,57.85196125,9.15064755322,403738.0,211369.0,2248431.58458,442353.017743,584.5,512.16,442.17,454.88,447.17,482.25714285714287,463.48357142857145,458.415,36.32646772180086,31.69336878158757,22.05622560483085,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,17.533657183974515,4.075025159404165,14.625743902346265,12.999865785594372
2016-05-31,531.15,15606425.0,59032595.9724,0.867019984252,9.51666666667,1258297.79041,52.33924442,7.96380582337,392767.0,215249.0,2561419.97723,414293.94539,577.54,525.15,445.34,452.89,451.9,494.51571428571424,469.0735714285714,461.0566666666667,36.270744803099845,36.25460556571711,25.694772356200023,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,17.893600340360628,3.976672353299208,14.75607273169227,12.934333427629012
2016-06-01,539.47,15610000.0,34219344.816,0.840414423611,10.85,1426731.35291,56.18497783,8.41596420618,405301.0,234385.0,2351992.3761,359797.599812,578.68,531.15,447.94,452.9,443.9,507.5914285714286,475.25714285714287,464.2423333333333,33.03576871038213,40.426490254363955,29.182105958293622,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,17.34830170923799,4.0462912385440255,14.670773771712675,12.793299708917901
