Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7
2010-08-17,0.0769,3744250.0,923.0018,0.000958648854962,0.0,0.00333269244941,0.67,1.43095170455,393.0,352.0,72855.15,48276.0,0.066889
2010-08-18,0.074,3750900.0,206.7786,0.00197306015038,0.0,0.00338357325017,1.56,1.30550132626,449.0,377.0,52829.65,35791.0,0.0665
2010-08-19,0.0688,3757900.0,51.8784,0.000714942857143,0.0,0.00356165605281,0.0,1.30869565217,395.0,368.0,32027.42,13756.0,0.066499
2010-08-20,0.0667,3766250.0,293.9825,0.000648694610778,0.0,0.00424854686299,0.0,1.39935929648,433.0,398.0,36647.52,21143.0,0.065
2010-08-21,0.066899,3775450.0,731.0702,0.000528054347826,0.0,0.00468103366941,0.0,1.76859425287,396.0,348.0,33790.41,17456.0,0.065
2010-08-22,0.0664,3785400.0,1118.9382,0.000490673366834,0.0,0.00506263967506,0.0,1.88765714286,358.0,350.0,45810.46,29971.0,0.0648
2010-08-23,0.066,3796250.0,300.8243,0.000494843317972,0.0,0.00552056688185,0.0,1.84087403599,431.0,389.0,29274.46,11325.0,0.069
2010-08-24,0.066889,3806500.0,469.8232,0.000434224390244,0.0,0.00521528207733,0.0,2.03445771513,393.0,337.0,28624.03,11639.0,0.06497
2010-08-25,0.0665,3817850.0,296.0216,0.000772365638767,0.0,0.00577497088563,0.8,1.90599747475,414.0,396.0,24234.76,7927.0,0.0649
2010-08-26,0.066499,3828250.0,270.9007,0.000499177884615,0.0,0.00529160327846,0.0,1.84917005348,391.0,374.0,30534.45,18406.0,0.0629
2010-08-27,0.065,3837150.0,540.5982,0.000549179775281,0.0,0.00551599462684,0.0,1.98797250859,316.0,291.0,21534.39,9867.0,0.0634
2010-08-28,0.065,3846100.0,370.4406,0.000545592178771,0.0,0.0055469833607,5e-07,1.6716954023,393.0,348.0,39471.259999,24297.0,0.0613
2010-08-29,0.0648,3854000.0,190.404,0.000494443037975,0.0,0.00489621994967,0.1400006,1.91014925373,300.0,268.0,18946.7799925,10183.0,0.0629
2010-08-30,0.069,3861450.0,2051.5884,0.000600879194631,0.0,0.00461732134494,0.4,1.78489583333,335.0,288.0,20544.6000008,12242.0,0.064
2010-08-31,0.06497,3870200.0,893.2146,0.00106710285714,0.0,0.00542302842527,0.2000003,1.22255376344,462.0,465.0,50604.2499966,36148.0,0.06185
2010-09-01,0.0649,3879000.0,429.8832,0.000832289772727,0.0,0.00545401715913,0.1300001,1.39980392157,459.0,408.0,25273.8899989,10608.0,0.06201
