mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.35465068817138673,0.34716870780228587,0.0009346961975097656,3.091089292414692e-05,0.0001,0.2,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.2}",-12.871163986889949,-38.046496071164874,-9667.4637806013,-61.03821654422358,-37.21367653946163,-1963.3266667486082,3852.0986921867184,57,-1.4410236966660168,-1.6540588412965922,-7.158432523009514,-38.31398591709521,-39.34539339308369,-17.582578874230204,17.471930144666658
0.3154484748840332,0.288844375037292,0.0009494781494140625,2.7388307682435386e-05,0.0001,0.5,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",-13.05117829245732,-38.04507320496601,-9621.218550822947,-63.72253870178759,-37.20072604504314,-1954.6476134134402,3833.3189837630835,55,-1.4407184905149717,-1.6540576936708646,-7.158203330858248,-38.30188451854768,-39.32640878465936,-17.576254563650224,17.46441304303086
0.3183286190032959,0.2991530068064094,0.001553821563720703,0.0004545722767421495,0.0001,0.8,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.8}",-13.243853061574669,-38.04323324124243,-9571.973746200356,-67.29277946506491,-37.18769163103133,-1945.5482607198537,3813.2512414949783,53,-1.4405078258073292,-1.6540569662003626,-7.158065394530381,-38.29370960541737,-39.31325647951975,-17.57191925429504,17.459252368914505
0.31767096519470217,0.3044056213189137,0.0011757373809814452,0.00046491546141732215,0.00019573417814876596,0.2,"{'model__alpha': 0.00019573417814876596, 'model__l1_ratio': 0.2}",-12.374588590136813,-38.03909525043525,-9772.777828943308,-56.80972795767429,-37.23783196632281,-1983.4478145415753,3894.6906021754166,61,-1.4424074091855306,-1.6540746664561323,-7.159433172204076,-38.352879926109836,-39.40413155907459,-17.60258534660603,17.495416048852633
0.288742733001709,0.2608689680592522,0.0015128612518310546,0.0006451602098416768,0.00019573417814876596,0.5,"{'model__alpha': 0.00019573417814876596, 'model__l1_ratio': 0.5}",-12.694642256291319,-38.036420090177664,-9691.810716323926,-59.77006919343808,-37.21939974692275,-1967.906249522151,3861.9809837593393,58,-1.441465097460301,-1.654070354775599,-7.158654936353865,-38.322535572241485,-39.35851967278611,-17.587049126723475,17.477118924201484
0.2844947338104248,0.26191087313161276,0.001473236083984375,0.0005065414984706593,0.00019573417814876596,0.8,"{'model__alpha': 0.00019573417814876596, 'model__l1_ratio': 0.8}",-13.050350392271296,-38.03321301392896,-9601.915275422065,-64.89085278592516,-37.19434636993086,-1951.0168075968245,3825.48441685159,54,-1.4407646047757952,-1.6540680493119837,-7.158164408933739,-38.29848263950481,-39.320927881041726,-17.57448151671361,17.46223468214449
0.29025564193725584,0.24409635801734342,0.0012522220611572265,0.0003896148678551823,0.0003831186849557289,0.2,"{'model__alpha': 0.0003831186849557289, 'model__l1_ratio': 0.2}",-11.577561644689405,-38.023190123115874,-9941.50944734412,-53.93480227041386,-37.24624982254644,-2016.4582502409771,3962.548845522297,64,-1.4461487339311132,-1.6541320063444085,-7.162603892308002,-38.431565189854716,-39.51773499063782,-17.642436962615214,17.541317312027882
0.2619234561920166,0.23729326591426625,0.0014063358306884766,0.00046215016045829377,0.0003831186849557289,0.5,"{'model__alpha': 0.0003831186849557289, 'model__l1_ratio': 0.5}",-12.076226016166697,-38.018295784278436,-9812.258841774692,-55.715491728180126,-37.243242907324806,-1991.0624196421286,3910.6229244108845,62,-1.4437525367344766,-1.654116535767616,-7.16017226374185,-38.37218172920198,-39.43241730207269,-17.61252807350372,17.5067000259421
0.2620123863220215,0.2510101482649694,0.0012593269348144531,0.0005337837487734478,0.0003831186849557289,0.8,"{'model__alpha': 0.0003831186849557289, 'model__l1_ratio': 0.8}",-12.688715359176912,-38.01507443473913,-9657.06545029272,-61.33475900692048,-37.20801345478357,-1961.2624025096677,3847.9322912976722,56,-1.4416506852732895,-1.6541100018266401,-7.158523104209744,-38.313016975094435,-39.343790434804426,-17.58221824024171,17.471164894787286
0.22853436470031738,0.19085135912789658,0.0012816429138183595,0.0003950588977971188,0.0007498942093324559,0.2,"{'model__alpha': 0.0007498942093324559, 'model__l1_ratio': 0.2}",-10.380171836225783,-37.98834928451151,-10170.583972872355,-53.79868206224888,-37.181362469153754,-2061.986507704899,4054.3227344161496,69,-1.4547265707467438,-1.6543314328420462,-7.171623444913529,-38.55353478510182,-39.68891339776175,-17.704625926273177,17.610231230144173
0.22639193534851074,0.20462479754949384,0.0014262676239013671,0.0006133562575263506,0.0007498942093324559,0.5,"{'model__alpha': 0.0007498942093324559, 'model__l1_ratio': 0.5}",-11.167453013366533,-37.980600179871054,-9995.599347085683,-53.63010836605845,-37.23581146501325,-2027.1226640219982,3984.2616571876188,65,-1.4494099626807682,-1.6542840944390629,-7.164851812957075,-38.464946306343634,-39.56472331309766,-17.65964309790364,17.56005125318181
0.24557194709777833,0.23203685958621084,0.0010625362396240235,0.00043246116659365687,0.0007498942093324559,0.8,"{'model__alpha': 0.0007498942093324559, 'model__l1_ratio': 0.8}",-12.037430180014027,-37.97843569142924,-9751.26787911449,-57.13376412929453,-37.23280629198701,-1979.1300630814428,3886.095316058449,60,-1.4445248860357294,-1.654267004145846,-7.159760384970977,-38.35085118102709,-39.4008588512021,-17.602052461476347,17.493653880629925
