mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004628658294677734,0.0009023860702728413,0.0013683795928955077,0.0007272910137636146,0.0001,{'model__alpha': 0.0001},-13.464421519198636,-38.05357015648448,-9539.572406333406,-70.27026959791057,-37.18219302110293,-1939.7085721256203,3799.9748620985733,9,-1.4404102304343958,-1.6540530504799988,-7.158029236575841,-38.29175964841548,-39.31006981459385,-17.570864396099914,17.458018921670472
0.003956413269042969,0.0016609787875527813,0.000781393051147461,6.937392363890947e-05,0.00019573417814876596,{'model__alpha': 0.00019573417814876596},-13.462080282215657,-38.053561794561304,-9539.747679961427,-70.25783576226462,-37.18221023968056,-1939.7406736080295,3800.0464306241797,10,-1.4404102604832958,-1.654053050530191,-7.158029238747837,-38.29175974186291,-39.31006991510603,-17.570864441346053,17.458018963064077
0.0032051563262939452,0.0008515047586145735,0.0007520675659179688,3.392775964239149e-05,0.0003831186849557289,{'model__alpha': 0.0003831186849557289},-13.457501762130079,-38.05354542027725,-9540.090644794755,-70.23352427838147,-37.18224402042904,-1939.8034920551945,3800.1864695256327,11,-1.4404103754082593,-1.6540530507224604,-7.158029247066217,-38.29176009951085,-39.310070299824645,-17.570864614506487,17.458019121510375
0.004451608657836914,0.0016093270167589985,0.0013182640075683593,0.0007246315206438498,0.0007498942093324559,{'model__alpha': 0.0007498942093324559},-13.448555628790942,-38.05351334286324,-9540.76154006188,-70.18603700402917,-37.18231043869815,-1939.9263912952524,3800.4604006259806,12,-1.44041081422804,-1.6540530514588967,-7.158029278913364,-38.291761466983665,-39.31007177104196,-17.570865276525186,17.45801972749727
0.0033874034881591795,0.0006181034545112042,0.0008677959442138672,0.00015596193949396232,0.0014677992676220704,{'model__alpha': 0.0014677992676220704},-13.431104443813163,-38.05345045181187,-9542.073165410648,-70.09346471313182,-37.182441572080855,-1940.1667253182973,3800.995916106803,13,-1.4404124844157542,-1.6540530542789353,-7.1580294007601415,-38.2917666855405,-39.310077387293546,-17.570867802457776,17.45802204129332
0.0029268264770507812,0.0003259883203813172,0.0007264137268066407,1.1066731972029616e-05,0.0028729848333536655,{'model__alpha': 0.0028729848333536655},-13.397172122671156,-38.053326953094235,-9544.634558815997,-69.91370233712675,-37.18270249459898,-1940.6362925446974,3802.0415773815216,14,-1.4404188017864998,-1.6540530650726555,-7.158029866341529,-38.29178652640751,-39.31009875342416,-17.57087740260647,17.45803084734841
0.0024408340454101563,0.00019743624349963194,0.0007033348083496094,8.472418151710192e-06,0.005623413251903491,{'model__alpha': 0.005623413251903491},-13.331603387152903,-38.0530837030059,-9549.625583763776,-69.56726769638823,-37.18322890203323,-1941.552153490471,3804.0786777492576,15,-1.44044241065315,-1.6540531063479293,-7.158031640876227,-38.291861415438795,-39.31017949667314,-17.57091361399785,17.458064151307095
0.002295112609863281,0.0003047779067498172,0.0006922245025634766,4.37820131546866e-05,0.011006941712522103,{'model__alpha': 0.011006941712522103},-13.20639867614436,-38.05260182250676,-9559.309481699027,-68.9094410331715,-37.18431514229635,-1943.3324476746288,3808.029578398864,16,-1.4405286343739163,-1.6540532639046084,-7.1580383716075335,-38.29214014605498,-39.31048071482611,-17.57104822615343,17.458188568362264
0.002358675003051758,0.00036649686608371197,0.000684356689453125,1.7319497540784442e-05,0.021544346900318846,{'model__alpha': 0.021544346900318846},-12.97254933907011,-38.0516370742836,-9577.944489401598,-67.69584407975131,-37.18662592316427,-1946.7702291635735,3815.626575094688,17,-1.4408303200967163,-1.6540538632737063,-7.158063665147835,-38.293150154350656,-39.31157704362214,-17.57153500929821,17.458642485104914
0.002167034149169922,0.00017424568011114355,0.0006886482238769531,4.274323176801727e-05,0.042169650342858224,{'model__alpha': 0.042169650342858224},-12.552676576800648,-38.04966987847718,-9613.243546946514,-65.57880356151023,-37.191665955160055,-1953.3232725836926,3829.996908703287,18,-1.441808099854814,-1.6540561285220163,-7.158157083225054,-38.2966317511622,-39.315387329982755,-17.573208078549367,17.46022564935495
0.0019725799560546876,0.00012428379775624874,0.0006484031677246094,1.5462763729330054e-05,0.0825404185268019,{'model__alpha': 0.0825404185268019},-11.846463119145122,-38.04554274866295,-9678.158454113764,-62.26429754866969,-37.20243971912054,-1965.5034394498725,3856.3604830661016,19,-1.4446015480474403,-1.654064586434738,-7.1584915366114314,-38.30760799020005,-39.32757614775417,-17.578468361809563,17.465309216964915
0.0029438018798828127,0.0012253630011211044,0.0006819725036621094,3.8038815712882315e-05,0.16155980984398746,{'model__alpha': 0.16155980984398746},-10.768096478218684,-38.0365681606876,-9791.242205061475,-58.053606364973724,-37.22236742705919,-1987.064568698483,3902.1177423435274,20,-1.4512629473544079,-1.6540954883741112,-7.159627698915455,-38.33744435377498,-39.36151618885406,-17.592789335454604,17.479472978725006
0.002169895172119141,0.0003199813041020759,0.0006572246551513672,2.610595257458586e-05,0.31622776601683794,{'model__alpha': 0.31622776601683794},-9.317836911800468,-38.01649156691989,-9970.030590569651,-54.52877030292308,-37.245461647802514,-2021.8278301998193,3974.127924185681,21,-1.4642293034182194,-1.6542043339475887,-7.163186564645998,-38.40267360964267,-39.438427997584405,-17.624544361847775,17.511274794640503
0.002076578140258789,0.00030509617631503124,0.0006566047668457031,2.4162520283190388e-05,0.618965818891261,{'model__alpha': 0.618965818891261},-7.668236489757541,-37.9717918253771,-10206.983107885877,-53.58671975514465,-37.235163002793406,-2068.68900379179,4069.1741630297797,23,-1.4859865561072987,-1.6545661227537025,-7.173143119206888,-38.512174420323426,-39.573752019079436,-17.67992444749415,17.565708140645068
0.0025415420532226562,0.0008097114063508976,0.000661468505859375,2.0897004237671334e-05,1.2115276586285901,{'model__alpha': 1.2115276586285901},-6.2706060984973595,-37.877415907366675,-10423.100995335373,-54.60013193917281,-37.129750628035936,-2111.795779981689,4155.681919712938,24,-1.5204838141339663,-1.6556676597210598,-7.19736480150575,-38.657860384902456,-39.76321028649675,-17.758917389351996,17.638041241204032
0.0021654605865478516,0.0003286904836993366,0.000684356689453125,6.0988870594264193e-05,2.371373705661655,{'model__alpha': 2.371373705661655},-5.758991241509403,-37.69407249545906,-10435.583818020055,-55.1187428419378,-36.92316368709552,-2114.2157576572113,4160.714450144405,25,-1.5722127291643024,-1.6586259441310176,-7.2481708475757705,-38.83435505051615,-40.0002057181842,-17.862714057914285,17.72286486794107
